( micro ) habitats | RESOURCE
hard substrate | RESOURCE
harp | ACTOR
harvest | PROCESS
hazard assessments | PROCESS
hazard | PROCESS
hazardous substances | RESOURCE
hazards | PROCESS
health and wellness tourism industry | ACTOR
health and wellness tourism | PROCESS
health impact study | RESOURCE
health impacts | QUALITY
health risk | QUALITY
health risks | QUALITY
health sector | ACTOR
health status | QUALITY
health tourism industry | ACTOR
health | QUALITY
healthy | QUALITY
heat transport | PROCESS
heavy and extreme vulnerability regions | LOCATION
heavy equipment | RESOURCE
heavy metal concentrations | QUALITY
heavy metal | RESOURCE
heavy metals | RESOURCE
heavy pumping | PROCESS
heavy rain | PROCESS
heavy rainfall | PROCESS
heavy rains | PROCESS
heavy unusual rain | QUALITY
helicopters | RESOURCE
hemolysin | RESOURCE
hemolysis | PROCESS
hemorrhagic activity | PROCESS
herbaceous plant | RESOURCE
herbaceous plants | RESOURCE
herbicide | RESOURCE
herring | RESOURCE
heterotrophic bacteria | RESOURCE
heterotrophic bacterioplankton | RESOURCE
heterotrophic dinoflagellates | ACTOR
heterotrophs | ACTOR
hexanchiform species | RESOURCE
high - frequency tide - surge interaction | QUALITY
high - land | RESOURCE
high - risk areas | LOCATION
high - risk disaster - prone area | QUALITY
high - speed ships | QUALITY
high - valued species | RESOURCE
high ductility dualphase steel ( B500c ) | QUALITY
high seas | LOCATION
high trophic - level predators | ACTOR
high trophic level | QUALITY
high value area | QUALITY
higher - order predator | ACTOR
highly concentrated salty areas | LOCATION
hilly areas | LOCATION
hinterland | LOCATION
histochemical localization | QUALITY
home range fidelity | QUALITY
home rivers | LOCATION
hook fishing | PROCESS
horse mackerel | RESOURCE
horse mussel | ACTOR
host densities | QUALITY
host populations | RESOURCE
host species | RESOURCE
host | RESOURCE
hosts | RESOURCE
hot spots | LOCATION
hot spots | QUALITY
hot vents | RESOURCE
hotspots | QUALITY
household | QUALITY
households | ACTOR
human - altered environments | RESOURCE
human action | PROCESS
human activities | PROCESS
human demand for safe water | PROCESS
human dimensions | QUALITY
human disturbance | PROCESS
human disturbances | PROCESS
human drivers | QUALITY
human habitation | RESOURCE
human health risks | QUALITY
human health | QUALITY
human impacts | QUALITY
human influence | PROCESS
human intervention | PROCESS
human life losses | QUALITY
human life | PROCESS
human lives | ACTOR
human population | ACTOR
human pressure | PROCESS
human pressures | PROCESS
human systems | ACTOR
human use | PROCESS
human well - being | QUALITY
human | ACTOR
humans | ACTOR
humus content | QUALITY
hurricane | PROCESS
hurricanes | PROCESS
hybrid isolation | PROCESS
hydraulic conductivity | QUALITY
hydraulic gradient | QUALITY
hydraulic gradients | QUALITY
hydraulic management | PROCESS
hydrocarbon - rich kitchens | RESOURCE
hydrocarbon accumulation dynamics | QUALITY
hydrocarbon accumulation zones | LOCATION
hydrocarbon generation and expulsion | PROCESS
hydrocarbon generation intensity | QUALITY
hydrocarbon generation potential | QUALITY
hydrocarbon generation volume | QUALITY
hydrocarbons | RESOURCE
hydrocolloids | RESOURCE
hydrodynamic characteristics | QUALITY
hydrodynamic conditions | QUALITY
hydrodynamic forcing | PROCESS
hydrodynamic modelling | PROCESS
hydrodynamic processes | PROCESS
hydrodynamics | PROCESS
hydroelasticity | QUALITY
hydrogen - oxygen isotope ratio | QUALITY
hydrographic settings | QUALITY
hydrologic alteration | PROCESS
hydrologic characteristics | QUALITY
hydrologic regimes | QUALITY
hydrological factors | QUALITY
hydrological functioning | QUALITY
hydrological gradients | QUALITY
hydrological parameters | QUALITY
hydrological stations | RESOURCE
hydrology regulation | PROCESS
hydrology | QUALITY
hydroponics | PROCESS
hydropower | RESOURCE
ice - sheet domes | RESOURCE
ice caps | RESOURCE
ice dome | RESOURCE
ice sheet | RESOURCE
ice | RESOURCE
ichnocoenoses | RESOURCE
ichthyoplankton | ACTOR
identified toxins | QUALITY
igneous event | PROCESS
impact assessments | PROCESS
impacts | PROCESS
impacts | QUALITY
implementation | PROCESS
import - export | PROCESS
imposex incidence | QUALITY
imposex levels | QUALITY
impoundments | LOCATION
impregnated female shrimp | ACTOR
improved communication | QUALITY
improvement | PROCESS
inadequate and ambiguous guidance | QUALITY
inception | PROCESS
incidental catch | PROCESS
incidental | QUALITY
incision | RESOURCE
income | RESOURCE
increased recently | QUALITY
increasing seas | PROCESS
increment | PROCESS
indeno | RESOURCE
indicator species | ACTOR
indicators | RESOURCE
indigenous species | ACTOR
individual parasequences | QUALITY
individual size | QUALITY
individual tubes | RESOURCE
individual | QUALITY
individuals | ACTOR
individuals | RESOURCE
indoor environmental protection | PROCESS
industrial activities | PROCESS
industrial areas | LOCATION
industrial chain | RESOURCE
industrial effluents | RESOURCE
industrial reconversion | PROCESS
industrial solutions | RESOURCE
industrial structure | RESOURCE
industrial | PROCESS
industrialisation | PROCESS
industrialization | PROCESS
industries | ACTOR
industry players | ACTOR
industry | ACTOR
inedible algae | QUALITY
infected | QUALITY
infection | PROCESS
infectious stage | PROCESS
infestation rate | QUALITY
infilling | PROCESS
infiltration / exfiltration | PROCESS
infiltration | PROCESS
inflammation | PROCESS
inflow discharge | PROCESS
inflow of nutrients | PROCESS
inflow | RESOURCE
influence area | LOCATION
influents | RESOURCE
information | RESOURCE
infra - littoral | LOCATION
infraorders | QUALITY
infrastructural mega project | RESOURCE
infrastructure damage | PROCESS
infrastructure projects | RESOURCE
infrastructure | RESOURCE
infrastructures | RESOURCE
ingestion | PROCESS
inhabitants | ACTOR
inhomogeneity | QUALITY
injuries | PROCESS
inland areas | LOCATION
inland rivers | RESOURCE
inland | LOCATION
inlet river | RESOURCE
inlet rivers | RESOURCE
inlet | RESOURCE
inlets | RESOURCE
inner sublittoral environments | RESOURCE
inorganic nitrogen | RESOURCE
inorganic pollutants | RESOURCE
inorganic | QUALITY
inputs of dissolved Mn | RESOURCE
inputs | RESOURCE
insect species | ACTOR
insecticides | RESOURCE
insects | ACTOR
inshore areas | RESOURCE
inshore | LOCATION
instantaneous deformation | PROCESS
integrated coastal zone management ( ICZM ) | PROCESS
integrated farming systems | RESOURCE
integrated guiding principles | RESOURCE
integrated multi - trophic aquaculture ( IMTA ) | PROCESS
integrated polyculture systems | RESOURCE
integrated production | PROCESS
integrated sewage treatment plan | RESOURCE
integrated wastewater treatment plant ( IWWTP ) | RESOURCE
integrity | QUALITY
intense rainfall | PROCESS
intensive farming | PROCESS
intentional introductions | PROCESS
inter - annual variation | QUALITY
inter - habitat connectivity | QUALITY
interacting waves | PROCESS
interactions between ecosystems | PROCESS
interbreeding | PROCESS
internal flow kinematics | PROCESS
international level | QUALITY
international restrictions | RESOURCE
international route | RESOURCE
international transport corridors | RESOURCE
interspecific differences | QUALITY
intertidal benthic communities | RESOURCE
intertidal habitat area | RESOURCE
intertidal organisms | ACTOR
intertidal plant formations | RESOURCE
intertidal pools | RESOURCE
intertidal species | RESOURCE
intertidal zone | LOCATION
interventions | PROCESS
intestinal contents | RESOURCE
intra - arc zone | LOCATION
intraspecific density dependence | PROCESS
intraspecific variability | QUALITY
intraspecific variations | QUALITY
introduction | PROCESS
intrusion of Kuroshio Water | PROCESS
intrusion | PROCESS
intrusive rocks | RESOURCE
inundation | PROCESS
invaded lakes | LOCATION
invaded transects | LOCATION
invaded | QUALITY
invasion | PROCESS
invasive elodeids | ACTOR
invasive rust fungus | QUALITY
invasive species | ACTOR
invertebrate fauna | ACTOR
invertebrate | RESOURCE
invertebrates | RESOURCE
investment cost | QUALITY
involvement | PROCESS
irradiance | PROCESS
irregular echinoids | QUALITY
irrigated land expansion | PROCESS
irrigation waters | RESOURCE
irrigation | PROCESS
island | LOCATION
islands | LOCATION
isolation | PROCESS
isostatic rebound cycles | PROCESS
isotope ratios | QUALITY
isotope | RESOURCE
its | ACTOR
jellyfish | ACTOR
jellyfish | RESOURCE
juvenile Pacific salmon | ACTOR
juvenile Pacific salmon | RESOURCE
juvenile | ACTOR
juvenile | QUALITY
juveniles | ACTOR
juveniles | QUALITY
karst | RESOURCE
karstic aquifers | RESOURCE
karstic caves | RESOURCE
karstic coastal aquifers | RESOURCE
karstic terrains | RESOURCE
kartic cavities | RESOURCE
kinematics | QUALITY
kinetics | QUALITY
knowledge | QUALITY
knowledge | RESOURCE
labor | PROCESS
lacustrine deposition | PROCESS
lacustrine mudstone | RESOURCE
lagoon | RESOURCE
lagoons | LOCATION
lagoons | RESOURCE
lake ecosystems | RESOURCE
lake littoral | LOCATION
lake restoration | PROCESS
lake size | QUALITY
lake water | RESOURCE
lake | LOCATION
lake | RESOURCE
lakebeds | LOCATION
lakes | LOCATION
lakes | RESOURCE
lamellar body type | QUALITY
land - based emissions | PROCESS
land - ocean interaction | PROCESS
land - use changes | QUALITY
land - use | PROCESS
land - water | RESOURCE
land abandonment | PROCESS
land areas | LOCATION
land conversion | PROCESS
land cover | QUALITY
land degradation | PROCESS
land governance | PROCESS
land resource utilization degree | QUALITY
land resource | RESOURCE
land subsidence | PROCESS
land tenure | PROCESS
land transformation | PROCESS
land use change | PROCESS
land use changes | QUALITY
land use conflicts | PROCESS
land use cover change ( LUCC ) | PROCESS
land use efficiency | QUALITY
land use planning | PROCESS
land use practices | PROCESS
land use | PROCESS
land | RESOURCE
landfill leachate | RESOURCE
landfill sites | RESOURCE
landforms | RESOURCE
landscape connectivity | QUALITY
landscape evenness | QUALITY
landscape management | PROCESS
landscape quality | QUALITY
landscape | LOCATION
landscape | RESOURCE
landscapes | RESOURCE
landslide | PROCESS
large - scale management strategies | RESOURCE
large Daphnia | RESOURCE
larvae | ACTOR
larval stages | QUALITY
larval | ACTOR
larval | QUALITY
lawns | RESOURCE
lead substance | RESOURCE
lead | RESOURCE
leaves | RESOURCE
legacy | QUALITY
legal accountability civil | QUALITY
legal enforcement | PROCESS
leisure tourism | PROCESS
lentic systems | RESOURCE
lepidopteran pests ( LP ) | ACTOR
lesion | PROCESS
leukotoxin | RESOURCE
levels | QUALITY
life cycles | QUALITY
life history and catch | QUALITY
life quality | QUALITY
life | PROCESS
lifespan | QUALITY
light availability | QUALITY
light pollution | PROCESS
light | QUALITY
light | RESOURCE
limestone | RESOURCE
limnetic ecotypes | ACTOR
limnetic pumpkinseeds | ACTOR
limnetic sites | LOCATION
limnetic | LOCATION
limnic state | QUALITY
lipid regulators | RESOURCE
lithologies | QUALITY
lithology | QUALITY
litter sizes | QUALITY
litter | RESOURCE
little penguin | ACTOR
littoral - neritic facies | QUALITY
littoral belts | RESOURCE
littoral biotopes | RESOURCE
littoral cavities | RESOURCE
littoral cladoceran taxa | RESOURCE
littoral communities | RESOURCE
littoral drift sand | RESOURCE
littoral drift | PROCESS
littoral ecosystems | RESOURCE
littoral fringe | LOCATION
littoral invertebrates | ACTOR
littoral microcrustacean taxa | ACTOR
littoral pumpkinseeds | ACTOR
littoral sediment budget | RESOURCE
littoral slope | QUALITY
littoral stations | LOCATION
littoral system | RESOURCE
littoral zone habitats | RESOURCE
littoral zone | LOCATION
littoral | LOCATION
littoral | QUALITY
littoral | RESOURCE
littorals | LOCATION
lives of the people | QUALITY
lives | QUALITY
living marine resources | QUALITY
living organisms | RESOURCE
living space | RESOURCE
living standard | QUALITY
living standards | QUALITY
loads | RESOURCE
loans | RESOURCE
local benthic | RESOURCE
local climate | QUALITY
local communities | ACTOR
local conditions | QUALITY
local government | ACTOR
local governments | ACTOR
local level threats | PROCESS
local level | ACTOR
local requirements | QUALITY
local species | ACTOR
local subsidence drivers | ACTOR
local water chemistry | QUALITY
local wind setup | QUALITY
local wisdom | QUALITY
localities | LOCATION
locally isolated beneficial microorganisms ( LIBeM ) consortium | RESOURCE
lockdowns | PROCESS
loess | RESOURCE
logistic developments | PROCESS
long - chain unsaturated fatty acids | RESOURCE
long - distance migrant shorebirds | ACTOR
long - tailed duck | ACTOR
long - term changes | PROCESS
long - term effects | QUALITY
long - term habitat segregation | PROCESS
long - term integrators | QUALITY
longshore current | PROCESS
longshore currents | PROCESS
longshore drift of sediments | PROCESS
longshore | LOCATION
loriciferans | ACTOR
loss of life | QUALITY
loss | PROCESS
loss | QUALITY
losses | QUALITY
low - carbon cities | RESOURCE
low - carbon development model | RESOURCE
low - level jets ( LLJs ) | PROCESS
low - low ( LL ) regions | LOCATION
low - lying land | RESOURCE
low - lying | QUALITY
low salinity zone | LOCATION
low tides | PROCESS
low value area | QUALITY
lower eulittoral | LOCATION
lower upper eulittoral | LOCATION
lowering | PROCESS
lowstand sea - level phase | QUALITY
mackerel | RESOURCE
macro - tidal flat ichnocoenoses | RESOURCE
macro and meiofaunal species | ACTOR
macro force | PROCESS
macroalgae species | RESOURCE
macroalgae | RESOURCE
macroalgal - dominated reef | RESOURCE
macroalgal - dominated reefs | RESOURCE
macroalgal ecology | RESOURCE
macroalgal ecosystems | RESOURCE
macroalgal species | RESOURCE
macroalgal | RESOURCE
macrobenthos | RESOURCE
macrofaunal chironomid populations | ACTOR
macroinvertebrate abundance | QUALITY
macroinvertebrate abundances | QUALITY
macroinvertebrate taxa | ACTOR
macroinvertebrates | ACTOR
macroinvertebrates | RESOURCE
macrophyte control | PROCESS
macrophyte | ACTOR
macrophytes | RESOURCE
macroplastics | RESOURCE
macrozoobenthic community | ACTOR
magma | RESOURCE
magmatic belt | RESOURCE
magmatism | PROCESS
magnitude | QUALITY
mainland | LOCATION
maintenance program | RESOURCE
maintenance | PROCESS
maize growth stages | QUALITY
maize phenology | QUALITY
maize | RESOURCE
male | ACTOR
males | ACTOR
malignant tumor | PROCESS
mammal | ACTOR
man | ACTOR
management measures | RESOURCE
management strategies | RESOURCE
management strategy | RESOURCE
management tools | RESOURCE
management | ACTOR
management | PROCESS
managers | ACTOR
managing | PROCESS
mangrove area | RESOURCE
mangrove coastlines | RESOURCE
mangrove ecosystem | RESOURCE
mangrove ecosystems | RESOURCE
mangrove forest | RESOURCE
mangrove forests | RESOURCE
mangrove management | PROCESS
mangrove plants | RESOURCE
mangrove rehabilitation | PROCESS
mangrove restoration | PROCESS
mangrove species | RESOURCE
mangrove trees | RESOURCE
mangrove vegetation | RESOURCE
mangrove wetlands | RESOURCE
mangrove | RESOURCE
mangroves | RESOURCE
manmade climate changes | PROCESS
manufacture | PROCESS
mapping | PROCESS
mariculture industry | ACTOR
mariculture types | QUALITY
mariculture | PROCESS
marina design | QUALITY
marine - originating foundation species | RESOURCE
marine and coastal resources | RESOURCE
marine awareness | QUALITY
marine bacteria | ACTOR
marine birds | ACTOR
marine caves | LOCATION
marine coastal areas | LOCATION
marine coastal environments | RESOURCE
marine current turbines ( MCT ) | RESOURCE
marine debris | RESOURCE
marine diatoms | ACTOR
marine ecosystem | RESOURCE
marine ecosystems sustainability | QUALITY
marine ecosystems | RESOURCE
marine environment | RESOURCE
marine environmental quality | QUALITY
marine environments | RESOURCE
marine erosion | PROCESS
marine fish | ACTOR
marine floral | RESOURCE
marine food webs | QUALITY
marine life | RESOURCE
marine litter dispersion | PROCESS
marine litter | RESOURCE
marine macro - debris | RESOURCE
marine mammal fauna | ACTOR
marine mammals | ACTOR
marine organisms | ACTOR
marine organisms | RESOURCE
marine particles | RESOURCE
marine populations | ACTOR
marine ports | RESOURCE
marine protected area | LOCATION
marine protected areas ( MPAs ) | RESOURCE
marine resource management | PROCESS
marine resource use | PROCESS
marine sand mining | PROCESS
marine sedimentary rock | RESOURCE
marine sediments | RESOURCE
marine species | RESOURCE
marine survival | QUALITY
marine tidal current energy | RESOURCE
marine | QUALITY
marine | RESOURCE
marines | RESOURCE
marineterrestrial transitional facies | QUALITY
market failure | PROCESS
market prospect | RESOURCE
market | ACTOR
market | QUALITY
marsh | RESOURCE
marshes | RESOURCE
mass characteristics | QUALITY
mass deposits | RESOURCE
mass movement | PROCESS
material transport flux | PROCESS
material | RESOURCE
materials | RESOURCE
maturity | QUALITY
mayflies | ACTOR
measurement | PROCESS
measures | PROCESS
measures | RESOURCE
mechanical equipment | RESOURCE
mechanical stability | QUALITY
medicinal value | QUALITY
medicine | PROCESS
mega project | RESOURCE
mega projects | RESOURCE
meiofaunal chydorids | ACTOR
mercury | RESOURCE
meso - predator release | PROCESS
meso - to macro - tidal regime | QUALITY
mesocosms | RESOURCE
mesotrophic | QUALITY
metabolic activity | QUALITY
metabolism | QUALITY
metal | RESOURCE
metalloids | RESOURCE
metalloproteinase | RESOURCE
metals bioaccumulation | QUALITY
metals | RESOURCE
meteorological station | RESOURCE
meteorological variables | QUALITY
method | RESOURCE
methods | RESOURCE
metrics | QUALITY
micro - fibres | RESOURCE
micro - nano - plankton | ACTOR
micro - organisms | ACTOR
micro - scale processes | PROCESS
micro - sized plastics ( MPs ) | RESOURCE
microalgae community | RESOURCE
microbial communities | ACTOR
microbial pollution indicators | RESOURCE
microbial | ACTOR
microbial | QUALITY
microbiota | RESOURCE
microenvironments | RESOURCE
microorganisms | RESOURCE
microphytobenthos | RESOURCE
microplastic pollution | PROCESS
microplastic | RESOURCE
microplastics | RESOURCE
mid - and downstream areas | LOCATION
middle area | LOCATION
migrate | PROCESS
migrates landward | PROCESS
migration barriers | RESOURCE
migration routes | RESOURCE
migration | PROCESS
migrations | PROCESS
migratory behaviors | QUALITY
migratory species | ACTOR
migratory | QUALITY
mineral deposits | RESOURCE
mineral reserves | RESOURCE
mineralization | PROCESS
mineralized waters | RESOURCE
mining sites | RESOURCE
mining | PROCESS
minke | ACTOR
mismanagement | PROCESS
mite species | ACTOR
mitigation | PROCESS
mix of HEPTA and OCTA ( MIX ) | RESOURCE
mixing energy | PROCESS
mixing | PROCESS
mixture of OCTA and HEPTA | RESOURCE
mobile application | RESOURCE
mobile dune | RESOURCE
mobile fishing gear ( MFG ) | RESOURCE
mobile phone | RESOURCE
mobile | RESOURCE
mobility | QUALITY
model | RESOURCE
modelling | PROCESS
modifications | PROCESS
moisture content | RESOURCE
moisture | PROCESS
molar concentration ratio of N and P ( N : P ) | QUALITY
molluscs | RESOURCE
monetary assessment | QUALITY
monitoring program | RESOURCE
monitoring programs | RESOURCE
monitoring strategies | RESOURCE
monitoring | PROCESS
monobutylin ( MBT ) | RESOURCE
monoculture aquaculture systems | RESOURCE
monsoon | PROCESS
moon jellyfish | ACTOR
moraine | RESOURCE
morphodynamic development | PROCESS
morphodynamics | QUALITY
morphological characteristics | QUALITY
morphological evolution | PROCESS
morphology | QUALITY
mortality rates | QUALITY
mortality | QUALITY
mosquitofish | ACTOR
moss | RESOURCE
movement | PROCESS
movements | PROCESS
mowing | PROCESS
mt - 16S rDNA | RESOURCE
mudstone | RESOURCE
multi - hazards | PROCESS
multi - scale coastal conflicts | PROCESS
multidisciplinary approach | RESOURCE
multidisciplinary research project | RESOURCE
multiscale | QUALITY
multispiral | QUALITY
municipal landfill | RESOURCE
municipal sewage pipes | RESOURCE
municipal sewage | PROCESS
municipal solidwaste landfills | RESOURCE
municipalities | ACTOR
municipalities | LOCATION
muricid species | ACTOR
mussel | ACTOR
mussels | ACTOR
mussels | RESOURCE
mutagenic effects | PROCESS
mycoplankton | RESOURCE
myrtle rust affected areas | LOCATION
myrtle rust | ACTOR
narwhal | ACTOR
national adaptation policies | RESOURCE
national budget funds | RESOURCE
national nature reserves | RESOURCE
national policies | RESOURCE
national policy | RESOURCE
nationally endangered | QUALITY
nations | ACTOR
native communities | RESOURCE
native cyprinid fishes | ACTOR
native fishes | RESOURCE
native plant species | RESOURCE
native specie | RESOURCE
native species | ACTOR
native species | RESOURCE
native vegetation | RESOURCE
native | QUALITY
natural , unnatural acts | PROCESS
natural and anthropogenic conditions | QUALITY
natural and anthropogenic factors | QUALITY
natural attenuation | PROCESS
natural bacterial community | ACTOR
natural barrier | RESOURCE
natural communities | RESOURCE
natural development | PROCESS
natural disaster | PROCESS
natural disasters | PROCESS
natural dispersal | PROCESS
natural ecosystem | RESOURCE
natural environment | RESOURCE
natural environments | RESOURCE
natural events | PROCESS
natural factors | QUALITY
natural fluctuations | QUALITY
natural habitats | RESOURCE
natural hazard | PROCESS
natural hazards | PROCESS
natural heritage | QUALITY
natural hydrologic regime | QUALITY
natural processes | PROCESS
natural protectorates | RESOURCE
natural radiation | PROCESS
natural recharge | PROCESS
natural recovery | PROCESS
natural refugees | RESOURCE
natural resource managers | ACTOR
natural resources | RESOURCE
natural sources | RESOURCE
natural systems | RESOURCE
natural water level fluctuations | QUALITY
natural wetlands | RESOURCE
natural | ACTOR
natural | QUALITY
nature - based infrastructure ( NBI ) | RESOURCE
nature - based risk reduction strategies | RESOURCE
nature reserves | RESOURCE
nature | RESOURCE
near - shore | LOCATION
near shore | LOCATION
nearshore currents | PROCESS
nearshore | LOCATION
necto - benthic endangered top predators | ACTOR
negative effect | PROCESS
negative effects | PROCESS
negative impact | QUALITY
nekton | RESOURCE
net entanglement | PROCESS
net primary production | QUALITY
net production | QUALITY
net recharge rate | QUALITY
new records | QUALITY
nickel | RESOURCE
nitrate | RESOURCE
nitrogen ( N ) | RESOURCE
nitrogen deposition | PROCESS
nitrogen inputs | RESOURCE
nitrogen isotope signature | QUALITY
nitrogen removal | PROCESS
nitrogen | RESOURCE
nitrophilic grasses | RESOURCE
no - LLJ type | QUALITY
noise pollution | PROCESS
non - coastal region | LOCATION
non - conventional water | QUALITY
non - enzymatic antioxidants | RESOURCE
non - essential metals | RESOURCE
non - estuarine | QUALITY
non - forest plant communities | RESOURCE
non - jellifying polysaccharides | RESOURCE
non - marine waterbirds | ACTOR
non - market institutions | ACTOR
non - native fishes | ACTOR
non - native freshwater fishes | ACTOR
non - native freshwater species | ACTOR
non - native marine fishes | ACTOR
non - native species | ACTOR
non - natural fibres | RESOURCE
non - rainfall sources | RESOURCE
non - soil - based agricultural production | PROCESS
non - target species | QUALITY
non - tidal | QUALITY
non - trophic processes | PROCESS
non - urban areas | LOCATION
non - vegetated areas | RESOURCE
noncoastal areas | LOCATION
nonlinear components | RESOURCE
nonsteroidal anti - inflammatory drugs ( NSAIDs ) | RESOURCE
northeast and northwest parts of Dongguan City | LOCATION
northern Bohai Sea | LOCATION
northern bay | LOCATION
northward drift | PROCESS
northward transport | PROCESS
northwest Pacific Ocean | LOCATION
northwestern South China Sea ( NWSCS ) | LOCATION
not used safely | QUALITY
nurseries | RESOURCE
nursery area | RESOURCE
nursery | RESOURCE
nursing | PROCESS
nutrient addition | PROCESS
nutrient availability | QUALITY
nutrient concentrations | QUALITY
nutrient cycling | PROCESS
nutrient inputs | PROCESS
nutrient loads | QUALITY
nutrient pollution | PROCESS
nutrient pulse | PROCESS
nutrient transport | PROCESS
nutrient | RESOURCE
nutrients concentration | QUALITY
nutrients concentrations | QUALITY
nutrients supply | QUALITY
nutrients | RESOURCE
obligations | RESOURCE
occurred abundantly | QUALITY
ocean acidification | PROCESS
ocean basin | LOCATION
ocean circulation | PROCESS
ocean contamination | PROCESS
ocean currents | PROCESS
ocean ecosystems | RESOURCE
ocean regions | LOCATION
ocean | LOCATION
ocean | RESOURCE
oceanic circulation | PROCESS
oceanic climate change indicators | QUALITY
oceanic currents | PROCESS
oceanic gyres | LOCATION
oceanic oscillations | PROCESS
oceanic regions | LOCATION
oceanic tidal waves | PROCESS
oceanic water conditions | QUALITY
oceanographic | QUALITY
offshore sand | RESOURCE
offshore transport of Shelf Water | PROCESS
offshore waters | RESOURCE
offshore | LOCATION
offspring | ACTOR
ofmangroveforests | RESOURCE
oil - SPM aggregates ( OSAs ) | RESOURCE
oil - water contact area | LOCATION
oil exploration | PROCESS
oil generation | PROCESS
oil spill pollution | PROCESS
oil spill | PROCESS
oil spills | PROCESS
oil | RESOURCE
oiling | PROCESS
oligochaetes | ACTOR
oligosaccharides | RESOURCE
oligotrophic lakes | LOCATION
oligotrophic | QUALITY
omnivorous | QUALITY
ongoing research | PROCESS
open - water taxa | RESOURCE
open - water | LOCATION
open coast | LOCATION
open littoral | LOCATION
open ocean | LOCATION
open sea | LOCATION
open water | LOCATION
opening | PROCESS
orange | QUALITY
orchards | RESOURCE
orders | QUALITY
organic and inorganic substrates | RESOURCE
organic carbon | RESOURCE
organic compounds | RESOURCE
organic layer | RESOURCE
organic load | RESOURCE
organic matter sedimentation rates | QUALITY
organic matter | RESOURCE
organic pollutants | RESOURCE
organic pollution | PROCESS
organic substrate removal | PROCESS
organic | QUALITY
organism | RESOURCE
organisms | ACTOR
organisms | RESOURCE
organizations | ACTOR
organochlorinated pesticides | RESOURCE
organogenic | QUALITY
ornamental fish trading | PROCESS
oscula | RESOURCE
otter | ACTOR
outages | PROCESS
outdoor cultivation | PROCESS
outdoor systems | RESOURCE
outer shelf | LOCATION
outflow | RESOURCE
over - exploitation | PROCESS
over - fertilization | PROCESS
overexploitation | PROCESS
overfishing | PROCESS
overflow | PROCESS
overgrown littoral | LOCATION
overthrusts | PROCESS
overturning circulation | PROCESS
oxbow lakes | RESOURCE
oxidative damage | PROCESS
oxidative stress | PROCESS
oxygen availability | QUALITY
oxygen | RESOURCE
oyster reefs | RESOURCE
oyster | RESOURCE
oysters | RESOURCE
pCO2 | QUALITY
pCO2 | RESOURCE
pH variability | QUALITY
pH | QUALITY
paddy fields | RESOURCE
palaeohydrogeology | QUALITY
palaeohydrological evolution | PROCESS
pale white | QUALITY
paleo - competitive release | PROCESS
pandemic | ACTOR
parasequence | RESOURCE
parasequences | RESOURCE
parasite | ACTOR
parental magmas | RESOURCE
parthenogenetic reproduction | PROCESS
partial pressure of CO2 ( pCO2 ) | QUALITY
participation | PROCESS
participation | QUALITY
particle abundance | QUALITY
particle dynamics | PROCESS
particle size distribution | QUALITY
particle size | QUALITY
particle transfer | PROCESS
particles | RESOURCE
particularly prominent | QUALITY
particulate matter | RESOURCE
partition coefficients | QUALITY
passage | PROCESS
passive margin | LOCATION
patch selection | PROCESS
patchy ice cover | RESOURCE
pathogenesis | PROCESS
patients | ACTOR
pattern of shoreline | QUALITY
peak discharge | QUALITY
peak discharges | QUALITY
peak storm tides | PROCESS
peak tide | PROCESS
peak | RESOURCE
peaks | RESOURCE
peat | RESOURCE
peatland | LOCATION
peatland | RESOURCE
pebbles | RESOURCE
pebbly bottom | RESOURCE
pedunculated reproductive organ | QUALITY
pelagic cladoceran taxa | RESOURCE
pelagic ecosystem | RESOURCE
pelagic fish | ACTOR
pelagic | LOCATION
pelagic | QUALITY
people | ACTOR
peoples | ACTOR
perception | QUALITY
perch | ACTOR
perfluoroalkyl substances ( PFASs ) | RESOURCE
performance | QUALITY
periodically monitored | PROCESS
peripheral sites | RESOURCE
periphyton grazers | ACTOR
permeable beds | RESOURCE
persistence | QUALITY
persistent organic pollutants | RESOURCE
perturbations | PROCESS
perylene | RESOURCE
pest control | PROCESS
pest | ACTOR
pesticides | RESOURCE
petrochemical companies | ACTOR
petrochemical discharges | PROCESS
petrochemical reservoirs | RESOURCE
petrogenic PAHs | QUALITY
petroleum - derived carbon | RESOURCE
petroleum accumulation conditions | QUALITY
petroleum exploration | PROCESS
petrology | QUALITY
pharmaceutical products | RESOURCE
pharmaceutical wastewater treatment plant ( PWWTP ) | RESOURCE
pharmaceuticals | ACTOR
phase lag | QUALITY
phase | QUALITY
phenanthrene | RESOURCE
phenolic compounds | RESOURCE
phenolics | RESOURCE
phenotypic plasticity | QUALITY
phosphate | RESOURCE
phospholipase A2 | RESOURCE
phospholipase D Li Sic Tox beta IDI | RESOURCE
phosphorus ( P ) | RESOURCE
phosphorus | RESOURCE
photo - degradation | PROCESS
photoacclimation | PROCESS
photodamage | PROCESS
photoinhibition | PROCESS
photoprotective mechanism | RESOURCE
photoprotective strategies | RESOURCE
photoprotective strategy | RESOURCE
photosynthesis | PROCESS
photosynthetic capacity | QUALITY
photosynthetic pigments | RESOURCE
phylogeography | QUALITY
phylum | QUALITY
physical - biogeochemical processes | PROCESS
physical and psychological damage | PROCESS
physical change | PROCESS
physical conditioners | QUALITY
physical disturbance | PROCESS
physical factors | QUALITY
